02-25 15:25:18: Training starting...
02-25 15:25:24: New best reward -45.2 (-100.0%) at episode 0, saving model...
02-25 15:25:29: New best reward -28.6 (-36.8%) at episode 1, saving model...
02-25 15:25:39: New best reward -18.9 (-33.8%) at episode 3, saving model...
02-25 15:27:50: New best reward 7.0 (-136.8%) at episode 30, saving model...
02-25 15:28:09: New best reward 41.5 (+496.9%) at episode 34, saving model...
02-25 15:32:21: New best reward 88.1 (+112.0%) at episode 82, saving model...
02-25 15:35:22: New best reward 114.1 (+29.5%) at episode 117, saving model...
02-25 15:37:28: New best reward 154.3 (+35.2%) at episode 136, saving model...
02-25 15:37:54: New best reward 194.6 (+26.1%) at episode 141, saving model...
02-25 15:43:30: New best reward 201.9 (+3.8%) at episode 154, saving model...
02-25 15:43:46: New best reward 238.3 (+18.1%) at episode 157, saving model...
02-25 16:02:04: New best reward 268.6 (+12.7%) at episode 181, saving model...
02-25 16:02:57: New best reward 342.7 (+27.6%) at episode 191, saving model...
02-25 16:05:57: New best reward 475.4 (+38.7%) at episode 224, saving model...
02-25 16:13:06: New best reward 489.8 (+3.0%) at episode 270, saving model...
02-25 16:13:18: New best reward 510.8 (+4.3%) at episode 272, saving model...
02-25 16:19:40: New best reward 538.6 (+5.4%) at episode 321, saving model...
02-25 16:36:16: New best reward 543.6 (+0.9%) at episode 418, saving model...
02-25 16:37:48: New best reward 613.7 (+12.9%) at episode 430, saving model...
02-25 16:50:02: New best reward 657.8 (+7.2%) at episode 528, saving model...
02-25 16:53:38: New best reward 705.0 (+7.2%) at episode 554, saving model...
02-25 16:57:56: New best reward 726.9 (+3.1%) at episode 582, saving model...
02-25 17:02:59: New best reward 752.1 (+3.5%) at episode 618, saving model...
02-25 17:06:25: New best reward 765.3 (+1.8%) at episode 639, saving model...
02-25 17:11:38: New best reward 850.1 (+11.1%) at episode 673, saving model...
02-25 18:00:23: New best reward 858.9 (+1.0%) at episode 996, saving model...
02-25 18:41:33: New best reward 897.4 (+4.5%) at episode 1268, saving model...
02-25 19:38:44: New best reward 902.1 (+0.5%) at episode 1696, saving model...
02-25 20:09:50: New best reward 905.6 (+0.4%) at episode 1950, saving model...
02-25 22:14:05: New best reward 907.0 (+0.2%) at episode 2839, saving model...
